API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123391720000,8918,538.9272,747.5239999999999,2707.011960934928,3323.598534595977,3159.456034755849
05001097720000,4358,760.4881,934.0413,2841.9402595140637,3126.395856934779,3270.499448825574
05123367730000,5880,1113.721,1046.376,1715.7249233464731,1754.789036033261,1602.013456771386
05123369450000,3858,,,1127.823014287909,1070.502073590399,1109.397278029812
05123371100000,4241,556.3128,907.9096,2563.958165728077,2947.375856466765,2528.11007612653
05123371910000,5706,792.9496,1139.229,6159.548355424644,6599.702933531377,7002.9109125372315
05123372980000,4066,905.8632,631.5,1746.487119437939,1944.7593342330179,1781.7248020543539
05123372990000,4038,,,1841.666666666666,1614.9118314187451,1767.720040057861
05123374000100,4368,963.3162,858.1181,4541.567695961995,3924.129114733141,3855.223740872495
05123374210000,4226,922.7794,602.8447,1252.380331289943,1287.419078075033,1379.7850501147198
05123381640000,4136,852.0862,752.0038,3970.168612191958,4068.172428040214,4081.346285938573
05123383110000,4059,1021.7360000000001,582.8188,2887.625190969275,2783.848935315387,3128.220627125047
05123383510000,7907,890.7471,856.5363,3162.361883313392,3251.1713030746696,3390.06619118477
05123386630000,4255,959.1675,682.1555,2658.476658476658,2834.205933682373,2932.5254750757363
05123388410000,4262,974.9094,666.7344,1796.1933276304528,1546.6387268505398,1604.2310538458191
05123356100000,4144,,585.3038,2265.908609365068,2095.503952569169,2053.036155747836
05123375730000,4539,537.8745,942.2292,18780.212014134275,20165.92292089249,21329.061102831598
05123376560000,5381,1181.156,743.1826,2246.786950074147,2413.20589621054,2536.638983878847
05123364330000,3859,1438.235,523.0474,3003.497813866333,3024.7923071891137,3161.3765296075762
05123369830000,6430,1239.985,683.3779,2041.701244813278,2089.529590288315,1916.595650079662
05123370430000,4144,1316.129,736.1755,5843.543186831834,6544.769546922399,6393.647418433117
05123374230000,4182,828.0219999999999,593.6813,1060.768961084492,1358.360237255049,1430.8339092375022
05123367510000,4010,,,3144.494616186175,3328.2270781707593,2942.06726536362
05123365450100,6567,2497.084,1669.898,2495.603299791496,2408.259698530454,2928.659135559921
05123376810000,4589,543.1719,824.0833,1898.193327179216,1961.3920222040351,2122.225387862933
05123365260000,6617,450.0539,594.3469,2199.907378820623,2018.4148616857299,2018.9052539019558
05123363840200,6751,618.0532,,2207.407407407407,2145.960125918153,2121.521942110177
05123350610000,4105,1178.628,807.1788,1976.423416198877,1935.7406647517428,1900.922722029988
05123375130000,4090,615.3673,1043.963,2942.4433717044176,2698.9341085271312,2547.812328013208
05123374330000,3823,737.5334,600.8387,575.08369201339,655.452377327853,731.8969963893179
05123378300000,4042,1417.145,790.7669999999999,2274.2434834714873,2340.643198153297,2539.511411859158
05123373000000,4153,479.2211,38.636390000000006,2441.141260973663,2361.581348200709,2382.825962090752
05123371240000,3946,936.0184,616.3469,1991.0172064777319,2286.022625781482,2403.654666812561
05123366560000,9228,719.1285,548.5219999999999,2138.256912845642,1521.4504058184878,1134.823783947922
05123364820000,4290,870.0384,610.072,2190.346083788706,1985.6130869787478,2018.398914518317
05123376750000,6012,1245.978,1122.901,4035.0605826243873,4150.4329004329,4317.008431352139
05123377680000,4137,535.0669,842.6111,4215.625,4049.7225778915913,4348.121286937736
05123382940000,6990,1000.248,670.1418,3120.3223624887282,3236.0126083530326,3308.997495898454
05123381920000,7235,850.0866,775.0761,2147.056467761313,2098.28765736955,2068.739029500028
05123381860000,6703,1149.0,980.4489,2686.684593168011,2688.222414583227,2854.841648748132
05123381530000,4113,979.8448,734.2556,5805.060535981499,5827.620128641695,6436.694905419519
05123381520000,4173,974.6184,746.6464,4588.942621879492,4391.603530965454,4652.211934156378
05123381470000,3576,970.4349,819.3829,5572.7402043191505,5669.010473888522,6257.6018678081045
05123381160000,3963,1066.779,814.8552,7525.882517092228,7605.765391679311,7672.274325908558
05123380600000,7331,779.9945,779.9946,1783.182765809589,1182.177506288178,1484.074404382723
05123380050000,7125,725.8851,182.3492,3389.129152742284,3509.956563434309,3827.647106044794
05123379720000,3769,1186.618,1277.1889999999999,2104.3286867204692,2242.924333690898,2406.681277024225
05123379090000,7975,,,3232.652072057516,3368.3736875937434,3447.4669404021492
05123389210000,4260,1307.819,582.1664,2026.917647058823,2096.370143149284,2201.211905186241
05123378280000,3660,828.6699,784.5355,1964.5776566757488,1102.558874503007,1963.604852686308
05123377940000,3775,669.2445,438.1602,2243.551010922612,2086.6417280077217,1960.937839836443
05123377710000,4144,689.9730000000001,1072.739,4031.8606098319847,4261.058288548987,4493.253603189205
05123376670000,3798,450.8595,779.0742,3097.911227154046,2902.551857931651,2999.169909208819
05123370410000,4338,1261.704,518.9813,2931.533903884134,3133.1374436394954,3330.477038355961
05123392960000,9279,,,2289.944213989414,2241.583074958964,2378.345498783454
05123393200000,4104,973.1353,768.1238,2868.036983265836,2582.222222222222,2523.04964539007
05123361500000,6185,,,2737.271984753607,2563.681056998002,2662.4818623430688
05123359790000,4012,955.8291,762.056,4006.1509785647713,4161.956692706967,4408.530463070806
05123374990000,4089,1053.802,613.7204,2780.1014916192516,2783.686213289101,2398.597626752966
05123379980000,6934,1257.29,446.4263,4321.911078359125,4623.622047244095,4790.133957048692
05123374620000,3914,1600.1960000000001,788.3662,1132.716304437649,1205.859780596812,1319.339049308498
05123374050000,4279,966.2460000000001,566.3409,1503.692860469758,1493.7076476282668,1605.948999656668
05123373020000,4012,444.5407,604.1906,2392.60200031751,2388.492417484388,2252.484107881256
05123372110000,3853,923.4666,618.5748,2330.008045052292,2508.501228501228,2445.105716523101
05123370630000,4089,946.7233,518.202,3516.6600946372228,3629.576768952077,3430.0019331142466
05123384120000,4519,546.043,855.2141,2399.269311064718,2495.730933425637,2607.99308705984
05123369110000,4663,804.0836,1164.6,7721.715134790914,6670.34632034632,6737.299412915851
05123390280000,3587,,,4489.545303684035,4615.588208451219,4721.0921132662015
05123349910100,2550,,801.4464,605.03144654088,604.967948717948,556.853103872157
05123381010000,4174,522.3016,822.4313,2148.159122897992,2313.093762907889,2564.422897631922
05123379910100,6245,811.9922,771.9777,1963.599262769878,1831.825179288852,1541.6148450325852
05123393580100,6922,779.9822,,2585.085085085085,2272.508682874699,1974.683544303797
05123379680000,4100,1045.883,651.9259999999999,3124.5378927911265,3142.038640906062,3065.7139981885884
05123378600000,7025,669.3849,701.5326,5163.852852319174,5657.094594594593,5881.033310673011
05123378400000,6381,898.5591,851.9421,2758.77280930419,2544.2516268980467,2535.880136686234
05123378130000,4270,836.6346,561.5333,2474.170824772527,2063.722750139742,1977.609509851815
05123377400000,4366,996.0829,643.8172,3882.8245451742214,4552.950853382685,4664.238303383519
05123399110000,4217,892.6702,594.5857,2742.578025881755,3363.3814102564097,3723.00469483568
05123381500000,4600,1030.663,721.3915,4676.482252627404,4514.226782314364,4853.042390114187
05123382760000,3769,,,1446.177674521517,1182.488536373776,1032.451299467006
05123406200000,4511,537.7722,741.9918,4075.5988023952086,3763.406940063091,3810.5300541596366
05123383200000,4053,637.1302,509.6993,1285.847953216374,1528.7124432596,1648.5264389828699
05123393920000,4242,997.8312,571.7132,1528.0707723715539,1502.0613514080069,1546.210826210826
05123358360000,3899,1010.135,743.2228,9254.582783399324,9439.272380649772,10531.22548723828
05123352590000,3902,,,3007.5712589073632,3106.178818043224,3402.111452625952
05123381270000,6662,1391.723,630.6504,2274.526678141135,2302.990228491661,2318.9228989165867
05123376390100,8640,,,3864.4531714863733,3798.6717500922387,3757.466942672468
05123376790000,4742,538.3076,832.2285,2244.579898870956,2373.031606508322,2481.28798086177
05123377230000,8086,880.3561,1246.617,2075.210109809214,2063.562477738561,2153.867634738899
05123387350000,4307,947.3346,553.694,1741.8520912196468,1943.9018580276322,1946.805681153252
05123387400000,6420,,,1263.010801420046,1141.699445523908,1287.698124182056
05123387890000,4213,987.8699,554.8807,1204.154054900323,1115.6857627561,1134.313020244579
05123377330000,4146,,,3153.124568906056,2975.799835931091,3188.480635551142
05123377410000,3818,916.1165,686.1649,2695.436507936507,2911.254385133213,3222.3298880275624
05123377730000,3896,606.9875,861.3022,1703.739491738332,1629.461878572198,2084.352418010005
05123377750000,5149,,,4371.596457833319,4450.840202194999,4607.901444350042
05123389090000,4160,1012.747,582.2939,2217.7161926871727,2122.879282218597,2245.775034736808
05123389530000,9214,528.3295,768.4291,2733.7631808717842,2816.648080866218,2960.0864919867713
05123378700000,4698,504.2158,804.6033,2743.109056668378,2628.4943704781876,2778.921404427662
05123378180000,7044,821.4655,1311.245,4358.626805168482,4272.809863724853,4222.688074705798
05123391180000,4046,1034.142,908.4888,1085.81548864917,1002.7057878493209,987.199566291187
05123383060000,4064,1470.594,741.5252,3790.973303004908,4103.060587133041,4597.246772724837
05123383930000,6551,814.7865,1168.9089999999999,2595.278853950806,2687.411864247438,2658.102572505325
05123383980000,9189,548.5193,852.0228,2818.0266926686572,3040.857267043364,3329.282692118468
05123385780000,3995,,,2985.654621390956,3767.2126951625282,4149.258542875564
05123386070100,9181,547.7917,835.4279,2732.282596715529,2934.4232788360578,3276.7666793833173
05123386680000,4019,966.9625,680.637,2287.733797303175,2672.432359671557,3068.0683311432317
05123388480000,3907,901.6008,679.2435,1421.3443116142819,1616.313429794171,1717.362637362637
05123388650000,4142,796.9780000000001,753.1166,4619.756711409395,4613.129154795821,4790.378319388868
05123388830000,4257,1007.75,693.3808,2051.541976013706,1965.946453734147,1533.9930364669228
05123390660000,4135,,,2594.9610780949192,2888.4654068074738,2856.7614261033445
05123390880000,4023,,,2281.101947710124,2126.309239863113,1990.417092137302
05123373010000,4047,304.4698,383.0915,2532.416836388323,2402.721557144087,2134.62220645619
05123392540000,4575,814.9304,1135.219,2407.6211413391948,2368.266090076827,2559.5153000442488
05123393720000,4491,799.2292,515.893,1514.86234506965,1448.092594779733,1321.887881286067
05123394160000,9090,1256.5339999999999,848.7166,2627.477700693756,2957.428931522195,3213.3098516383807
05123394450000,9467,935.0982,631.7128,1452.470059880239,1453.081013450109,1518.438518634881
05123389280000,4152,,,1958.4905660377349,2380.689872420853,2503.444388777555
05123389820100,8573,843.3159,1197.755,2556.0540279787742,2339.217354317311,2450.221792945553
05123401080000,6633,853.6325,576.0505,1938.375350140056,1778.402699662542,1903.910614525139
05123390060000,4051,1039.0510000000002,590.9152,1558.5919042368869,1537.683051954108,1777.108433734939
05123390380000,6497,,,3110.477710637327,3138.727585986854,3272.800340409436
05123404650000,3954,1004.1260000000001,761.6207,2314.939066137203,2805.228648285137,3268.744679457795
05123406850000,4313,694.9464,805.2839,1160.437926606744,1155.931945921312,1180.591278212871
05123406910000,3922,869.2811,874.9297,1103.099083369707,1152.20700152207,1045.5404708712829
05123390500100,9078,960.9639999999999,668.2094,2195.498348945346,1956.5370886125602,2073.820895522388
05123390680000,9418,932.4989999999999,774.1589,2432.930764266617,2447.887170551078,2860.158764213688
05123391890000,5475,552.2791,781.5248,3582.0579615760325,5009.446861404599,4326.0335195530715
05123392150000,3964,1177.367,792.5425,2162.548175017002,2352.574880129522,2383.2911175031118
05123392320000,4817,520.6624,793.9308,3024.066182000501,3088.025709095989,3260.808646917534
05123394300000,4732,484.2558,822.1665,2496.902210314802,2625.776096235933,2626.3379600856288
05123395040000,5433,542.9658,820.5637,2285.097597597597,3522.688946803617,3158.111070515162
05123397310000,4072,1178.137,760.3135,1943.6972161401309,2035.828025477707,2210.447273914462
05123398310000,4414,567.4411,786.5374,924.201529464687,915.584805866089,983.047426841574
05123399300000,4052,,,2014.130680533574,2043.499142367066,1914.042416452442
05123400160000,3420,1164.093,859.0923,1615.160615160615,1808.3363234062908,1961.721558340619
05123403840000,4218,901.8594,540.3244,3340.265328074578,3861.013781826676,3440.5318291700237
05123378240000,4348,,,2228.726442033123,2056.504599211563,1984.9234393404001
05123390410000,6661,1035.844,673.1313,3223.9601848560246,3459.729339114439,3626.835617111143
05123408470000,4704,543.5406,755.7903,2847.638603696098,2823.34249398832,3024.3910095429433
05123378880000,4009,498.7394,808.8018,3789.394765539803,3874.215693511478,4117.276511831726
05123408990000,9473,,,4509.961894393032,4563.126767806634,4833.215014641938
05123411550000,9357,,,2259.6879718168093,2039.054600606673,2104.548889224724
05123385840000,4150,836.8342,552.1339,976.68664953849,823.156436487638,905.693658216424
05123415060000,9702,900.0113,1806.526,3884.213335705707,3927.7441911282676,4419.3114527487705
05123376650000,4153,96.54172,1305.366,2940.5569857243154,2637.916894477856,2864.073777064955
05123377250000,9093,924.3564,647.554,1589.3540051679581,1579.9119427627952,1658.3036116918781
05123396240000,8955,799.0110000000001,1163.223,3010.202884953676,3024.253382380447,3156.626506024096
05123397150000,3600,16.29176,16.29176,3257.4412532637075,2829.2761050608583,2481.6147082334132
05005071920000,3866,1835.5639999999999,1890.1989999999998,3186.014596718857,2967.191801774242,2435.97551404803
05123380230000,4510,3047.867,2417.604,2825.9328977964783,2713.079693831607,2727.33118971061
05123334240100,3508,834.5635,651.6735,3074.1367637102226,2367.579452328602,2355.7213930348253
05123380970000,5445,1103.9,821.0215,5944.508140334785,6351.682552032678,6724.3375858684985
05123381650000,3716,881.9613,810.7016,3003.509420022164,3816.30147916283,4216.387077505102
05123364680000,4175,956.1911,494.7355,1888.9142335766421,1812.696563774024,1530.5258110915772
05123368950000,4060,817.6465,1145.247,3564.345193035579,3460.986547085201,3673.415431712238
05123369150000,4091,525.7064,842.2236,3558.1453949855104,3335.775890020102,3382.284492994538
05123370000000,4670,823.1102,1164.819,8493.963611630676,8904.116415827768,9186.206345400784
05123383210000,4530,999.6659,737.8943,5364.5161290322585,5864.0741805635425,6193.261079514969
05123383230000,4489,1019.9839999999999,839.4119999999999,5193.912358960902,5887.180646619941,6487.785433631341
05123370010000,4632,822.2911,1165.348,9287.212877554712,9711.016378730088,9854.523543083413
05123372560000,9218,1338.26,301.7462,1668.4483653347172,1668.335901386748,1793.261587379234
05123376160000,3949,1308.808,981.6327,2515.543541224174,2400.13760566149,2486.734405870731
05123379930000,4388,988.2677,583.4855,1846.4673913043468,1799.729364005412,1826.320158355149
05123379940000,4255,1021.5419999999999,579.9448,1868.107420943905,1788.440926704592,1907.411907654921
05123388280000,6744,544.5949,860.4712,4582.467532467532,4773.405986837449,5013.564921413554
05123379220000,4188,,,2477.659729297045,2553.764909405444,2801.783264746227
05123379560100,6807,956.9446,762.9314,2192.360020931449,2547.684778516752,2352.625510023061
05123379580000,3723,,,13780.869971936389,13970.215545395165,14293.893512483706
05123393360000,5561,579.8808,751.8321,5048.9010052819895,7231.126596980255,6040.453317322125
05123380620100,6875,845.0079,698.9139,1086.282645838418,1289.001207000603,1378.138323069635
05123380730000,9117,1230.251,896.8023,3703.68495646892,4008.2941664362734,4071.136774294917
05123380940000,6595,669.8027,534.1729,3888.700477878834,3590.0965169953834,3526.984126984126
05123397120000,3820,1004.5210000000001,674.078,3100.154679040989,2456.087219866747,2205.908032596041
05123382370000,4408,1116.489,829.0443,15728.297632468997,15157.407407407407,15526.81441380477
05123382580000,4114,1141.23,1537.694,3417.2613949947663,3847.005064963664,4345.859252676568
05123384420000,3926,684.6671,190.6511,2087.427872005595,2112.830558276199,2186.017303935249
05123399090000,4191,888.6256,599.2185,1796.0465116279058,2346.8809797168,2377.6015857284438
05123386100000,8941,543.0937,837.7562,2917.8552278820366,3144.48343999764,3513.547153875219
05123400740000,6121,,,2815.238746049372,3001.9840354357952,2962.295133735434
05123386130000,4117,820.4261,546.0256,816.6275736252279,765.7666503027319,806.1508137066611
05123386270000,8951,534.9271,815.1405,3161.3817537643927,3623.2521186440667,4053.859053859053
05123386850000,5123,1017.987,800.6264,3579.891967241679,3612.7827140549266,3077.626167003982
05123387900000,4193,921.436,570.6583,1898.336909871244,1931.953137538115,1840.7332769940838
05123388840000,4276,974.8492,672.2369,1667.334000667334,1681.704767684941,1791.452336653168
05123389000000,3885,,,3236.447520184544,3947.626841243862,4440.475552937396
05123403940100,3892,,,2771.6429911551863,2645.2691407556,2667.80303030303
05123389630000,7914,852.4487,618.4783,2316.656497864551,2336.951774907979,2185.267526307988
05123380220000,4355,2928.968,2354.931,2468.269733403031,2552.923637568328,2625.223266288731
05123381660000,4117,922.4988,677.9643,4943.931866572036,5341.897057516223,6479.453005692071
05123382620000,4050,768.2236,363.7158,1316.357402178297,1218.898614652974,1263.256927813889
05123382720000,3875,,,1999.672399672399,2225.9545170039637,2027.0358306188919
05123391380000,5349,525.5509,828.4091,3796.471927162367,4064.665662301541,4024.200959869294
05123382930000,6934,,,5725.740848343986,5999.920102269096,6176.9863637657645
05123383970000,9232,565.2475,856.2286,2715.813979269441,2825.1134287902887,3120.4151328336357
05123384300000,8930,986.9254,674.4886,1714.9183958008691,1637.69733035788,1582.7891452619351
05123384490000,4018,1190.391,635.7649,2547.46192893401,2833.381839348079,3009.524795527487
05123374670000,3989,998.5305,745.0073,890.905991647489,954.473536467105,1005.9861373660989
05123394310000,4655,797.2045,1245.16,2152.588110229781,2322.404867859413,2523.038275930455
05123375010000,4499,540.7936,857.4955,4059.6371882086155,3743.981174198998,4040.3058853352477
05123399810000,6764,,,3328.0632411067186,3766.987601302209,3758.214388351374
05123376360000,5147,,,4371.10642439974,4573.369938229238,4909.798030378901
05123377440000,6254,1102.665,1028.681,2712.1881907167663,3136.325227678152,3226.045265458647
05123386670000,4152,658.8515,644.1161,2333.578560168155,2976.3756632986842,3477.5507744229494
05123408900000,4564,847.8038,1244.736,2674.022525409761,3011.229646266142,3243.841943209031
05123394280000,4768,729.4585,1153.042,2970.135363790186,3303.830777794646,3242.208470026841
05123397790000,4020,1253.9460000000001,715.3292,1596.971461852067,1524.516466283324,1499.421072944808
05123399210000,9291,1654.223,1423.6,8483.607830950901,9294.272779218496,9469.272473460376
05123412120000,6707,614.1863,1089.945,1856.179466006055,2148.1861585828383,2249.003463373194
05123399630000,4601,448.6614,631.8876,30169.56261234272,42180.32094594594,40868.4054534677
05123400620000,4108,942.4479,654.2355,1274.097262667443,1374.682755242887,1104.773491734058
05123400720000,6640,,,2655.470980019029,2499.213397614818,2636.5031209680233
05123385490000,6632,2080.639,1157.884,2239.118965972039,2272.720738850756,2492.7543981605263
05123385900000,4166,999.9905,706.3853,1952.3652365236521,1995.879592537484,2260.056975138121
05123386880000,5093,995.3803,784.1646,2604.249382981006,2461.4614614614607,2818.702776127005
05123366490000,575,1345.1,364.0951,1826.1742560057362,1922.991456266043,2019.212683057906
05123391400000,5361,807.3965,1182.016,2860.1997146932954,2896.291063228541,2899.277540473553
05123408920000,5897,286.0176,1204.754,3122.868712702472,2999.8322991782647,3132.559760547787
05123409020000,4240,697.0967,983.0599,3545.278387805193,3547.169811320754,3608.3212168661216
05123412100000,6655,666.3447,1129.303,1457.852052101253,1719.85826922463,1869.174044817793
05123377060000,4273,991.9338,647.4756,5454.642475987193,4860.700602079912,4102.423324498296
05123377300000,6250,1127.875,1079.116,1258.899676375404,1407.2986748216101,1485.6141009987161
05123380180000,4386,522.9036,825.4397,1832.579185520361,1721.831420461557,1681.613368913775
05123363430000,4644,478.6139,766.3981,11758.23782234957,11711.96063588191,12197.017375838008
05123407890000,4766,856.2717,1149.328,3379.0774865514472,3481.5620843912457,3474.011200560028
05123364710000,4170,912.9795,507.7821,2064.453125,2163.648894179562,2376.184415217083
05123367370000,4852,510.5991,806.3682,2034.8633057436662,1790.336205440108,1360.71744275571
05123373730000,4131,963.3923,599.3875,1715.441435103763,1711.2496005113449,1737.383368521419
05123374190000,3819,906.6074,662.6423,1197.064300580567,1378.962320574162,1399.41638875655
05123374260000,4154,924.6956,571.4311,956.748306409588,1115.969581749049,1249.390478634672
05123375690000,4183,975.6524,616.7952,2680.553213020745,3166.4300202839754,3115.1796589524956
05123376760000,4528,839.9645,1217.979,2475.612838008592,1442.851531814611,2844.5600942655137
05123377240000,3817,697.779,539.7469,2154.152501214181,2567.356455843777,2874.927309326772
05123379880000,6448,721.7792,772.9706,2056.387414708112,1496.7555875991338,1344.051881375396
05123365300000,6294,2226.2110000000002,1333.245,2556.517437546376,2359.583468922876,2138.8032078963597
05123389990000,6041,867.8509,1222.077,9974.515622272647,9556.944314895998,9100.636783618427
05123390860000,3978,,,2114.557943718147,1849.5778045838351,1870.314274895872
05123392640000,6718,,,1553.8290014633121,1669.3323337081922,1952.9226341396552
05123392980000,9415,939.9495,767.6903,2177.475592747559,2146.047587172153,2095.073299687575
05123407940000,4066,733.1877,587.3002,5822.896749521989,7501.019991840065,9340.129916997472
05123394210100,6608,922.4937,771.8009,4582.191780821917,3973.55403348554,3012.585077693591
05123395530000,4538,1160.292,1038.722,6214.285714285714,6718.12489128544,6690.865576386118
05123398690000,6509,,,3297.742683031499,3463.66447622729,3444.5493499891054
05123385680000,9198,528.8077,221.3459,2029.0047016753851,2215.647977941176,2440.330423574901
05123412620000,5454,899.9523,652.9437,1482.9023396798332,1512.0475533382862,1451.220478681249
05123403100000,4197,754.9744,380.3192,6131.962918178153,6481.8020316129905,6773.497431792409
05123403960000,4078,1141.3519999999999,753.6965,5020.011055831951,5250.3871647153555,5465.130159313162
05123379450000,7074,1040.615,762.5329,2086.591545035165,2185.270425776754,2455.307994757536
05123384850000,7419,783.0698,643.8501,3674.815168137371,3279.411764705882,2506.521543581901
05123386260000,4528,594.0252,856.1805,2053.784696482991,2110.294814674376,1922.927573414693
05123386460000,5031,1000.813,767.0698,1701.5773881015289,1916.1261125358271,2133.8677354709407
05123409950000,5119,783.8765,1161.539,2486.713722233755,2695.544411781658,2684.4936834973887
05123389460000,4332,523.1312,847.5439,5211.606955793001,5671.463135107602,5826.564215148189
05123389680000,3838,,,4239.031984149448,4605.6960471397,4900.934698289565
05123409070000,9196,912.9285,773.2026,3598.5806849737733,3990.1825101634804,4389.407598197036
05123390910000,4784,470.8228,783.2141,3497.1277573529414,3443.7672493100267,3440.571359006614
05123391220000,8987,520.9342,806.8352,4373.445378151259,4592.241569318933,4874.917029279445
05123391950000,9124,550.0051,802.0715,3464.9151172190777,3564.1324526184003,3881.0839665892104
05123392010000,6984,953.1661,752.8623,1878.75150060024,2150.5568459293663,2103.8423552650142
05123392250000,6579,,,3958.0888516345344,4166.271240782302,4344.722677275918
05123393330000,4995,734.8266,1147.88,2416.853228261842,2381.699346405228,2481.310277920447
05123393340000,4353,485.3654,758.5833,3358.3573487031704,3048.452220726783,3172.857932559425
05123393530000,4120,937.8044,528.8218,3102.625693696678,3280.694067128209,3212.332082778651
05123398640000,3950,938.5792,851.803,1887.1999034865478,2183.766356912573,2144.383906119027
05123399760100,4740,,,20470.413100111648,20707.926167209556,21737.958715596327
05123384840000,7414,804.9199,655.3997,3164.618123251674,2562.052557122647,2414.812671777809
05123403190000,3932,991.8691,982.0938,1684.109060864775,2058.0908626850432,2022.643668764816
05123404110000,7265,,,1195.324283559577,1217.8599683544298,1083.845391476709
05123406250000,4437,842.9445,1143.121,3011.89138576779,3166.187549563838,3294.773015011756
05123407030000,3459,1027.677,850.6569,6173.469387755103,6511.5794633010655,6673.390633222241
05123409050000,5692,812.1686,742.092,3771.209251320905,3861.5612811075093,3938.8528561381568
05123377260000,4191,837.1125,1198.724,3571.115409413281,3290.8827785817653,3155.909840571742
05123399780000,6887,,,3002.469623629358,3032.86121866721,3125.6111051636153
05123392950000,8441,,,1895.246393648949,1782.813688212927,1972.755824994521
05123392970000,9297,,,2469.458631256384,2556.633606439557,2615.709261430246
05123376870000,3866,1012.1239999999999,908.2443,2596.819558632626,3490.243544600938,3261.274037097963
05123405740000,4284,697.5314,826.191,1387.824738270647,1309.328968903436,1320.6794163660159
05123374530000,3974,1036.058,1522.545,1845.9250034592499,1362.510917859719,1365.864022662889
05123402610000,4230,1307.427,612.6563,1723.323046938444,1960.3590490053368,2167.311811793002
05123397330000,4105,620.8662,529.4124,2452.501307303468,2563.548478817173,2574.103375527426
05123378870000,5149,814.687,1141.78,2520.378279438682,2659.126339182062,2776.437206418846
05123389960000,9190,544.5743,832.937,2473.638613861386,2620.28367803242,2862.3231360016493
05123381550000,4107,911.8815,660.8059,5216.569594674907,5699.708252292304,5905.08633243187
05123382700000,3813,,,1971.274499637042,1722.747357234744,1511.883070585439
05123383690000,4317,969.4556,609.7192,1418.118793329585,1643.20474777448,1765.658747300215
05123384170000,7536,546.1206,911.4268,2671.247507832526,2523.5361653272103,2556.824955295052
05123374750000,4110,991.8672,785.5278,1062.302340290955,1166.7894639896851,1329.095898023687
05123376800000,4594,847.0497,1124.846,2506.376195536663,2500.1967109922102,2575.4955472565352
05123376980000,3714,985.0351,737.8675,4463.159133709981,2624.697168962414,2624.697168962414
05123377340000,4196,1007.055,654.7166,3783.4716708769392,4535.92487442673,4465.893587994542
05123377920000,4065,617.1556,468.1534,2030.07004954724,2065.9362160046953,2049.6230696040398
05123378310000,4156,1191.1860000000001,1105.5230000000001,2473.337722185648,2456.6720442498267,2595.1284285654997
05123389970000,9170,544.6685,831.4416,3225.389044063159,3302.1211022480047,3412.508529512111
05123377180200,3453,938.8125,573.2118,5427.109974424552,4524.424359802022,5132.02846975089
05123398360000,4414,822.2774,539.8895,1171.890485629335,1138.934778299081,1164.5798277739282
05123396490000,8575,,,1076.83284457478,1013.358778625954,947.3069868267461
05123394980000,5694,,,8103.650586701434,8627.735900463173,8973.873457808273
05123415360000,9196,1071.537,964.0509,3147.4711766360024,3455.3251496867547,3795.1686753328772
05123393750000,5087,591.5687,514.4716,2329.062019477191,2559.7074620043422,2772.689216342933
05123390710000,3888,797.0596,858.6146,4338.499690018598,4660.111188325225,4947.73003541039
05123385370000,5945,831.3528,794.1274,1930.0574598771539,2020.8437343984021,2162.88144072036
